,ano,sigla_uf,id_municipio,numero_obitos,tempo_emprego,quantidade_pessoas,quantidade_pessoas_brancas,quantidade_pessoas_negras,quantidade_pessoas_indigenas,quantidade_pessoas_amarelas,quantidade_estabelecimentos_ensino_infantil,quantidade_estabelecimentos_ensino_fundamental,quantidade_estabelecimentos_ensino_medio,seguranca,assistencia,previdencia,total,taxa_abandono_ef,taxa_reprovacao_ef,taxa_aprovacao_ef,taxa_abandono_em,taxa_reprovacao_em,taxa_aprovacao_em,atu_ei,atu_ef,atu_em,populacao
2144,2019,MG,3168101,25,4.081967213114754,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,3795994.4099999997,7661917.1099999985,0.0,183952407.09000012,0.23333333333333334,13.499999999999998,86.26666666666668,4.5,4.5,91.0,6.866666666666667,15.0,22.8,4773.0
2145,2019,MG,3168200,12,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,1963050.88,5188221.62,138379065.12000012,0.6,5.5,93.89999999999999,1.9000000000000001,0.0,98.10000000000001,5.6000000000000005,9.6,9.0,1875.0
2146,2019,MG,3168309,27,0.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,380965.34,1773156.78,1264721.8199999998,108570352.91999997,0.19999999999999998,2.6999999999999997,97.10000000000001,3.1,9.4,87.5,16.3,21.7,27.7,4077.0
2147,2019,MG,3168408,138,266.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,653835.5199999999,6191678.100000001,2721301.02,357660894.1500002,0.38333333333333336,3.6833333333333336,95.93333333333334,2.0,9.700000000000001,88.3,12.818181818181818,13.975,19.400000000000002,14326.0
2148,2019,MG,3168507,87,4.891304347826087,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,256225.08,3585177.05,1422435.0,5769939299.760003,0.05384615384615384,5.392307692307692,94.55384615384614,2.175,5.949999999999999,91.87499999999999,12.063636363636363,17.453846153846154,24.675,11661.0
2149,2019,MG,3168606,1037,13.645833333333334,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,46685417.52,35888302.67,112295857.38000008,0.8785714285714288,8.928571428571429,90.19285714285714,4.069230769230769,8.63846153846154,87.29230769230767,14.22727272727273,21.02857142857143,27.52307692307692,140592.0
2150,2019,MG,3168705,494,3.9815668202764978,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,28281288.56,0.0,149912697.69,0.45999999999999996,3.5,96.03999999999999,2.9199999999999995,12.579999999999998,84.5,17.15,25.18,31.679999999999996,89842.0
2151,2019,MG,3168804,49,5.055555555555555,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,421468.1,3470904.13,0.0,150732379.28999996,2.0000000000000004,6.281818181818182,91.7181818181818,10.5,12.299999999999999,77.2,10.4,15.054545454545455,27.5,7981.0
2152,2019,MG,3168903,53,3.75,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,344743.19999999995,3244447.0600000005,5881885.86,328695644.1000002,1.5076923076923074,2.030769230769231,96.46153846153847,11.4,5.7,82.89999999999999,11.318181818181818,15.553846153846157,26.900000000000002,6480.0
2153,2019,MG,3169000,140,4.571428571428571,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,7416553.08,28222075.52,157454510.18999997,0.36,4.58,95.05999999999999,1.6249999999999998,20.9,77.47500000000001,15.5,23.34,27.000000000000004,16659.0
